video_name,video_name_org,source,sub_set,label_name,label
v_00001,train_Fight_-1l5631l3fg_0,RWF_2000,train,fight,2
v_00002,train_Fight_-1l5631l3fg_1,RWF_2000,train,fight,2
v_00003,train_Fight_-1l5631l3fg_2,RWF_2000,train,fight,2
v_00004,train_Fight_0H2s9UJcNJ0_0,RWF_2000,train,fight,2
v_00005,train_Fight_0H2s9UJcNJ0_2,RWF_2000,train,fight,2
v_00006,train_Fight_0H2s9UJcNJ0_3,RWF_2000,train,fight,2
v_00007,train_Fight_0H2s9UJcNJ0_4,RWF_2000,train,fight,2
v_00008,train_Fight_0H2s9UJcNJ0_5,RWF_2000,train,fight,2
v_00009,train_Fight_0NWz-01A2yk_0,RWF_2000,train,fight,2
v_00010,train_Fight_0NWz-01A2yk_1,RWF_2000,train,fight,2
v_00011,train_Fight_0TFi8D8IBg4_1,RWF_2000,train,fight,2
v_00012,train_Fight_0_DzLlklZa0_3,RWF_2000,train,fight,2
v_00013,train_Fight_0_DzLlklZa0_4,RWF_2000,train,fight,2
v_00014,train_Fight_0_DzLlklZa0_5,RWF_2000,train,fight,2
v_00015,train_Fight_0_DzLlklZa0_6,RWF_2000,train,fight,2
v_00016,train_Fight_0lHQ2f0d_0,RWF_2000,train,fight,2
v_00017,train_Fight_0lHQ2f0d_1,RWF_2000,train,fight,2
v_00018,train_Fight_0lHQ2f0d_2,RWF_2000,train,fight,2
v_00019,train_Fight_0lHQ2f0d_3,RWF_2000,train,fight,2
v_00020,train_Fight_0vasozvJYvk_0,RWF_2000,train,fight,2
v_00021,train_Fight_1060314S+¡súósñ¬µÖƒTå½TÖóµÇÑF¿¦s«ñµÜ¦sè¢S¦ïS+¦n+êsìPTçæs¦¦n+ë_17,RWF_2000,train,fight,2
v_00022,train_Fight_1DwRGRND_0,RWF_2000,train,fight,2
v_00023,train_Fight_1DwRGRND_1,RWF_2000,train,fight,2
v_00024,train_Fight_1O4KGHbRt3M_0,RWF_2000,train,fight,2
v_00025,train_Fight_1O4KGHbRt3M_1,RWF_2000,train,fight,2
v_00026,train_Fight_1O4KGHbRt3M_2,RWF_2000,train,fight,2
v_00027,train_Fight_1O4KGHbRt3M_3,RWF_2000,train,fight,2
v_00028,train_Fight_1O4KGHbRt3M_4,RWF_2000,train,fight,2
v_00029,train_Fight_1XFiS6Lt_0,RWF_2000,train,fight,2
v_00030,train_Fight_1XFiS6Lt_1,RWF_2000,train,fight,2
v_00031,train_Fight_1dsLuL5Lvbc_0,RWF_2000,train,fight,2
v_00032,train_Fight_1dsLuL5Lvbc_1,RWF_2000,train,fight,2
v_00033,train_Fight_1dsLuL5Lvbc_2,RWF_2000,train,fight,2
v_00034,train_Fight_1dsLuL5Lvbc_3,RWF_2000,train,fight,2
